Source,Year,Amount
Wind,1950,0
Wind,1960,0
Wind,1965,0
Wind,1966,0
Wind,1967,0
Wind,1968,0
Wind,1969,0
Wind,1970,0
Wind,1971,0
Wind,1972,0
Wind,1973,0
Wind,1974,0
Wind,1975,0
Wind,1976,0
Wind,1977,0
Wind,1978,0.008861111
Wind,1979,0.017749999
Wind,1980,0.031048333
Wind,1981,0.031048333
Wind,1982,0.054704163
Wind,1983,0.096974447
Wind,1984,0.132341668
Wind,1985,0.189898327
Wind,1986,0.410522789
Wind,1987,0.57772696
Wind,1988,0.98047775
Wind,1989,7.835361004
Wind,1990,10.74117565
Wind,1991,12.08434772
Wind,1992,13.99605751
Wind,1993,16.84765053
Wind,1994,21.06242752
Wind,1995,24.43041801
Wind,1996,27.21790314
Wind,1997,35.53655243
Wind,1998,47.07899094
Wind,1999,62.73599625
Wind,2000,92.8714447
Wind,2001,112.7565689
Wind,2002,152.7857513
Wind,2003,183.5354919
Wind,2004,246.744873
Wind,2005,299.6399841
Wind,2006,379.8566589
Wind,2007,484.9559326
Wind,2008,622.1779175
Wind,2009,773.0018311
Wind,2010,961.5288086
Wind,2011,1214.866699
Wind,2012,1454.586914
Wind,2013,1732.016968
Wind,2014,1912.226807
Wind,2015,2238.785645
Wind,2016,2575.582275
Wind,2017,3034.916992
Wind,2018,3360.018555
Wind,2019,3744.514893
Wind,2020,4192.682129
Wind,2021,4872.094727
Hydropower ,1800,0
Hydropower ,1810,0
Hydropower ,1820,0
Hydropower ,1830,0
Hydropower ,1840,0
Hydropower ,1850,0
Hydropower ,1860,0
Hydropower ,1870,0
Hydropower ,1880,0
Hydropower ,1890,38.88888931
Hydropower ,1900,47.22222137
Hydropower ,1910,91.66666412
Hydropower ,1920,177.777771
Hydropower ,1930,363.8888855
Hydropower ,1940,533.333313
Hydropower ,1950,925
Hydropower ,1960,1913.888916
Hydropower ,1965,2729.886475
Hydropower ,1966,2909.135986
Hydropower ,1967,2973.969238
Hydropower ,1968,3132.305176
Hydropower ,1969,3316.980469
Hydropower ,1970,3473.426514
Hydropower ,1971,3628.941895
Hydropower ,1972,3798.634033
Hydropower ,1973,3852.995117
Hydropower ,1974,4232.136719
Hydropower ,1975,4284.33252
Hydropower ,1976,4267.339355
Hydropower ,1977,4410.858887
Hydropower ,1978,4773.710938
Hydropower ,1979,5012.646973
Hydropower ,1980,5120.46875
Hydropower ,1981,5230.628418
Hydropower ,1982,5325.265625
Hydropower ,1983,5552.54248
Hydropower ,1984,5740.620117
